id,level,kind,zh,pinyin,en,status,reviewer,note
6b791f00522a6b88,6,sentence,一个人住久了会觉得孤独。,Yí ge rén zhù jiǔ le huì juéde gūdú.,Living alone for a long time can make you feel lonely.,fix,claude:claude-opus-5,|Yī ge rén zhù jiǔ le huì juéde gūdú.||一 keeps its dictionary tone in pinyin.
0218ad18e69565cf,6,sentence,婴儿在妈妈怀里睡着了。,Yīng’ér zài māma huái lǐ shuìzháo le.,The baby fell asleep in its mother’s arms.,ok,claude:claude-opus-5,
5d1a9b8abf4b0218,6,sentence,我们反对任何暴力。,Wǒmen fǎnduì rènhé bàolì.,We oppose any form of violence.,ok,claude:claude-opus-5,
1d0382bbc7d0c91a,6,sentence,双方签署了合作协议。,Shuāngfāng qiānshǔ le hézuò xiéyì.,Both sides signed a cooperation agreement.,ok,claude:claude-opus-5,
5100e5abf8e38032,6,sentence,她愤怒地把信抛到了地上。,Tā fènnù de bǎ xìn pāo dào le dìshang.,She angrily threw the letter to the ground.,ok,claude:claude-opus-5,
f36d69526569c4a5,6,sentence,银行昨天晚上被抢劫了。,Yínháng zuótiān wǎnshang bèi qiǎngjié le.,The bank was robbed last night.,ok,claude:claude-opus-5,
ad90855d869440cc,6,sentence,会议室里一片混乱。,Huìyìshì lǐ yípiàn hùnluàn.,The meeting room was in chaos.,fix,claude:claude-opus-5,|Huìyìshì lǐ yīpiàn hùnluàn.||一 keeps its dictionary tone yī in pinyin (sandhi not written).
b399c28811d40787,6,sentence,法院明天审判这个案子。,Fǎyuàn míngtiān shěnpàn zhège ànzi.,The court will try this case tomorrow.,ok,claude:claude-opus-5,
a2207dbf013abdfc,6,sentence,你别嫉妒别人的成功。,Nǐ bié jídù biérén de chénggōng.,Don’t be jealous of other people’s success.,ok,claude:claude-opus-5,
65642461827f471d,6,sentence,这场大火毁灭了整个村庄。,Zhè chǎng dàhuǒ huǐmiè le zhěnggè cūnzhuāng.,The big fire destroyed the whole village.,ok,claude:claude-opus-5,
430e19fd78d7c1c2,6,sentence,我搭朋友的车去上班。,Wǒ dā péngyou de chē qù shàngbān.,I ride to work in my friend’s car.,ok,claude:claude-opus-5,
50dfb0e6a72720c1,6,sentence,她的钻石戒指丢了。,Tā de zuànshí jièzhi diū le.,Her diamond ring is lost.,ok,claude:claude-opus-5,
d92d636cab7ded72,6,sentence,公司解雇了三名员工。,Gōngsī jiěgù le sān míng yuángōng.,The company fired three employees.,ok,claude:claude-opus-5,
79675dfada1f33dd,6,sentence,你不要欺骗自己。,Nǐ búyào qīpiàn zìjǐ.,Don’t deceive yourself.,fix,claude:claude-opus-5,|Nǐ bùyào qīpiàn zìjǐ.||不 keeps dictionary tone bù in pinyin.
1d8603ebeafe6dc5,6,sentence,他擅长做中国菜。,Tā shàncháng zuò Zhōngguó cài.,He is good at cooking Chinese food.,ok,claude:claude-opus-5,
7bfd2e708354ac05,6,sentence,军队已经撤退了。,Jūnduì yǐjīng chètuì le.,The army has already withdrawn.,ok,claude:claude-opus-5,
b9ad2011f47f6a88,6,sentence,那天的场面真尴尬。,Nà tiān de chǎngmiàn zhēn gāngà.,That day’s scene was really awkward.,ok,claude:claude-opus-5,
88ac1c98ce3ff30d,6,sentence,人民有权利反抗压迫。,Rénmín yǒu quánlì fǎnkàng yāpò.,The people have the right to resist oppression.,ok,claude:claude-opus-5,
7018b93adbaaa939,6,sentence,不要掩盖自己的错误。,Búyào yǎngài zìjǐ de cuòwù.,Don’t cover up your own mistakes.,fix,claude:claude-opus-5,|Bùyào yǎngài zìjǐ de cuòwù.||不 keeps dictionary tone bù in pinyin.
ad3a5f7cfd6317ee,6,sentence,他陷入了深深的思考。,Tā xiànrù le shēnshēn de sīkǎo.,He fell into deep thought.,ok,claude:claude-opus-5,
54cbd8c44499eb09,6,sentence,婚礼仪式非常简单。,Hūnlǐ yíshì fēicháng jiǎndān.,The wedding ceremony was very simple.,ok,claude:claude-opus-5,
bc4fe367d414fe56,6,sentence,诚实是最好的荣誉。,Chéngshí shì zuì hǎo de róngyù.,Honesty is the best honor.,fix,claude:claude-opus-5,诚实是最大的荣誉。|Chéngshí shì zuì dà de róngyù.|Honesty is the greatest honor.|最好的荣誉 is unidiomatic; 最大的荣誉 is the natural collocation.
2afb50d78d8af665,6,sentence,这座塔有八百年的历史。,Zhè zuò tǎ yǒu bābǎi nián de lìshǐ.,This tower has eight hundred years of history.,ok,claude:claude-opus-5,
99ad9b6cab6a8994,6,sentence,侦探终于找到了线索。,Zhēntàn zhōngyú zhǎodào le xiànsuǒ.,The detective finally found a clue.,ok,claude:claude-opus-5,
8ad1066c8eb2bb51,6,sentence,他的说法太荒谬了。,Tā de shuōfǎ tài huāngmiù le.,His argument is too absurd.,ok,claude:claude-opus-5,
03afb05585ca71eb,6,sentence,这种疾病现在可以治好。,Zhè zhǒng jíbìng xiànzài kěyǐ zhìhǎo.,This disease can now be cured.,ok,claude:claude-opus-5,
3e8b8e91ba0558a0,6,sentence,他演奏了一首钢琴曲。,Tā yǎnzòu le yì shǒu gāngqín qǔ.,He played a piano piece.,fix,claude:claude-opus-5,|Tā yǎnzòu le yī shǒu gāngqínqǔ.||一 keeps dictionary tone yī (no written sandhi); 钢琴曲 is one word.
9db5c5aa499d14be,6,sentence,狗是人类忠诚的朋友。,Gǒu shì rénlèi zhōngchéng de péngyou.,Dogs are loyal friends of humankind.,ok,claude:claude-opus-5,
7be7cfb5b4a54c4a,6,sentence,他听到这个消息后差点崩溃了。,Tā tīngdào zhège xiāoxi hòu chàdiǎn bēngkuì le.,He nearly broke down after hearing the news.,ok,claude:claude-opus-5,
77c145a815a9ae8b,6,sentence,走廊里请不要大声说话。,Zǒuláng lǐ qǐng búyào dàshēng shuōhuà.,Please don’t talk loudly in the corridor.,fix,claude:claude-opus-5,"|Zǒuláng lǐ qǐng bùyào dàshēng shuōhuà.||不 keeps dictionary tone bù, sandhi not written."
96d92b0591e3c953,6,sentence,这些产品已经被市场淘汰了。,Zhèxiē chǎnpǐn yǐjīng bèi shìchǎng táotài le.,These products have already been eliminated by the market.,ok,claude:claude-opus-5,
ba68bdb8edb84456,6,sentence,她从小就喜欢舞蹈。,Tā cóng xiǎo jiù xǐhuan wǔdǎo.,She has loved dancing since she was little.,fix,claude:claude-opus-5,|Tā cóngxiǎo jiù xǐhuan wǔdǎo.||从小 is a single word in pinyin.
4916128e2d60e289,6,sentence,你不该隐瞒事实。,Nǐ bù gāi yǐnmán shìshí.,You shouldn’t hide the facts.,ok,claude:claude-opus-5,
0faa2a90d771555e,6,sentence,他有音乐方面的天赋。,Tā yǒu yīnyuè fāngmiàn de tiānfù.,He has a gift for music.,ok,claude:claude-opus-5,
31ce155bc92e5233,6,sentence,别嘲笑别人的缺点。,Bié cháoxiào biérén de quēdiǎn.,Don’t laugh at other people’s shortcomings.,ok,claude:claude-opus-5,
30261f4f71a0ad5f,6,sentence,爷爷年轻的时候打过仗。,Yéye niánqīng de shíhou dǎ guo zhàng.,Grandpa fought in a war when he was young.,ok,claude:claude-opus-5,
b43da9a0b754c31e,6,sentence,哇，这里的风景太美了！,"Wā, zhèlǐ de fēngjǐng tài měi le!","Wow, the scenery here is so beautiful!",ok,claude:claude-opus-5,
36a2f482597e5663,6,sentence,医生说他得了癌症。,Yīshēng shuō tā dé le áizhèng.,The doctor said he has cancer.,ok,claude:claude-opus-5,
05555b914368f769,6,sentence,这是感冒的常见症状。,Zhè shì gǎnmào de chángjiàn zhèngzhuàng.,These are common symptoms of a cold.,ok,claude:claude-opus-5,
082f314127c5a7c9,6,sentence,秘密终于暴露了。,Mìmì zhōngyú bàolù le.,The secret was finally exposed.,ok,claude:claude-opus-5,
123207feca836df9,6,sentence,我们请了一位保姆照顾孩子。,Wǒmen qǐng le yí wèi bǎomǔ zhàogù háizi.,We hired a nanny to look after the children.,fix,claude:claude-opus-5,"|Wǒmen qǐng le yī wèi bǎomǔ zhàogù háizi.||一 keeps dictionary tone yī, sandhi not written."
15d69a300f2d7d8b,6,sentence,他遭遇了一场车祸。,Tā zāoyù le yì chǎng chēhuò.,He was in a car accident.,fix,claude:claude-opus-5,"|Tā zāoyù le yī chǎng chēhuò.||一 keeps dictionary tone yī, sandhi not written."
e2eb4fce0e89612f,6,sentence,飞机将于八点抵达北京。,Fēijī jiāng yú bā diǎn dǐdá Běijīng.,The plane will arrive in Beijing at eight.,ok,claude:claude-opus-5,
5c30c421194c2bfd,6,sentence,谁也不能侮辱我的家人。,Shéi yě bù néng wǔrǔ wǒ de jiārén.,Nobody may insult my family.,ok,claude:claude-opus-5,
c7ef691b04ba42e4,6,sentence,他凌晨三点才回到家。,Tā língchén sān diǎn cái huídào jiā.,He didn’t get home until three in the morning.,ok,claude:claude-opus-5,
688ab8a32e624f7e,6,sentence,墙上留下了一道痕迹。,Qiáng shang liúxià le yí dào hénjì.,A mark was left on the wall.,fix,claude:claude-opus-5,"|Qiáng shang liúxià le yī dào hénjì.||一 keeps dictionary tone yī, sandhi not written."
ad542b8eccae6bc7,6,sentence,古代的皇帝住在宫殿里。,Gǔdài de huángdì zhù zài gōngdiàn lǐ.,Ancient emperors lived in palaces.,ok,claude:claude-opus-5,
046897b472162276,6,sentence,战争是残酷的。,Zhànzhēng shì cánkù de.,War is cruel.,ok,claude:claude-opus-5,
a4b77a758181e66e,6,sentence,她一个人在房间里哭泣。,Tā yí ge rén zài fángjiān lǐ kūqì.,She was weeping alone in the room.,fix,claude:claude-opus-5,|Tā yī ge rén zài fángjiān lǐ kūqì.||一 keeps its dictionary tone yī (sandhi not written).
5a118378b7152cd1,6,sentence,火车穿过了一条长长的隧道。,Huǒchē chuānguò le yì tiáo chángcháng de suìdào.,The train passed through a long tunnel.,fix,claude:claude-opus-5,"|Huǒchē chuānguò le yī tiáo chángcháng de suìdào.||一 should be written yī, not yì."
4ff29f79f5aca188,6,sentence,你在说啥？我听不懂。,Nǐ zài shuō shá? Wǒ tīng bu dǒng.,What are you saying? I don’t understand.,ok,claude:claude-opus-5,
783b601de2a84590,6,sentence,他这个人太卑鄙了。,Tā zhège rén tài bēibǐ le.,That man is really despicable.,ok,claude:claude-opus-5,
e0f07880d8d72e07,6,sentence,人的欲望是没有止境的。,Rén de yùwàng shì méiyǒu zhǐjìng de.,Human desire has no end.,ok,claude:claude-opus-5,
0ff55db2b1736456,6,sentence,感谢您给予我们的帮助。,Gǎnxiè nín jǐyǔ wǒmen de bāngzhù.,Thank you for the help you have given us.,ok,claude:claude-opus-5,
0ee166adeab72c57,6,sentence,我的喉咙有点儿疼。,Wǒ de hóulóng yǒudiǎnr téng.,My throat hurts a little.,ok,claude:claude-opus-5,
e489f6ebf65d3d93,6,sentence,火箭成功地飞向了太空。,Huǒjiàn chénggōng de fēi xiàng le tàikōng.,The rocket flew successfully into space.,ok,claude:claude-opus-5,
9ff5c31751fad423,6,sentence,他是这个团队的领袖。,Tā shì zhège tuánduì de lǐngxiù.,He is the leader of this team.,ok,claude:claude-opus-5,
97801fc989d327ae,6,sentence,火车沿着轨道前进。,Huǒchē yánzhe guǐdào qiánjìn.,The train moves forward along the tracks.,ok,claude:claude-opus-5,
831005960c3191a7,6,sentence,这份工作的薪水不高。,Zhè fèn gōngzuò de xīnshuǐ bù gāo.,The salary for this job is not high.,ok,claude:claude-opus-5,
ed3527bb36ec2f66,6,sentence,仓库里放满了货物。,Cāngkù lǐ fàng mǎn le huòwù.,The warehouse is full of goods.,ok,claude:claude-opus-5,
3621d291d0698d03,6,sentence,我的膝盖受伤了。,Wǒ de xīgài shòushāng le.,My knee is injured.,ok,claude:claude-opus-5,
0cb8a6153d362405,6,sentence,今天的天气有点儿异常。,Jīntiān de tiānqì yǒudiǎnr yìcháng.,Today’s weather is a bit unusual.,ok,claude:claude-opus-5,
b8fddfd819b63162,6,sentence,考试没通过，他很沮丧。,"Kǎoshì méi tōngguò, tā hěn jǔsàng.",He failed the exam and is very depressed.,ok,claude:claude-opus-5,
f1d186fe40979d9b,6,sentence,山上到处都是岩石。,Shān shang dàochù dōu shì yánshí.,There are rocks everywhere on the mountain.,ok,claude:claude-opus-5,
d40d333b739435da,6,sentence,小女孩抱着她的娃娃睡觉。,Xiǎo nǚhái bàozhe tā de wáwa shuìjiào.,The little girl sleeps holding her doll.,ok,claude:claude-opus-5,
269a4564bf63b019,6,sentence,这个想法太荒唐了。,Zhège xiǎngfǎ tài huāngtáng le.,This idea is ridiculous.,ok,claude:claude-opus-5,
c7be272984f1dcd4,6,sentence,政府出台了新的政策。,Zhèngfǔ chūtái le xīn de zhèngcè.,The government introduced a new policy.,ok,claude:claude-opus-5,
a893f8b85a9a4d85,6,sentence,天气冷酷得让人受不了。,Tiānqì lěngkù de ràng rén shòu bu liǎo.,The weather is unbearably harsh.,fix,claude:claude-opus-5,"天气寒冷得让人受不了。|Tiānqì hánlěng de ràng rén shòu bu liǎo.||冷酷 describes cruel people, not weather; 寒冷 is the natural word."
0a4557b0ed049250,6,sentence,清明节人们去扫墓。,Qīngmíngjié rénmen qù sǎomù.,"At the Qingming Festival, people visit the graves.",ok,claude:claude-opus-5,
56a1ac913f173960,6,sentence,患者需要多休息。,Huànzhě xūyào duō xiūxi.,The patient needs more rest.,ok,claude:claude-opus-5,
53209f89a7d0623e,6,sentence,很多年轻人崇拜这位歌手。,Hěn duō niánqīngrén chóngbài zhè wèi gēshǒu.,Many young people worship this singer.,ok,claude:claude-opus-5,
299fc4c18a042879,6,sentence,我们的祖先来自北方。,Wǒmen de zǔxiān láizì běifāng.,Our ancestors came from the north.,ok,claude:claude-opus-5,
da6fa9ca75176879,6,sentence,他住在一个遥远的小村子里。,Tā zhù zài yí ge yáoyuǎn de xiǎo cūnzi lǐ.,He lives in a distant little village.,fix,claude:claude-opus-5,|Tā zhù zài yī ge yáoyuǎn de xiǎo cūnzi lǐ.||一 keeps its dictionary tone yī in this course's pinyin.
f3d91b1b1f720233,6,sentence,新的生命诞生了。,Xīn de shēngmìng dànshēng le.,A new life was born.,ok,claude:claude-opus-5,
3e9ed5c65f7de38d,6,sentence,这是一个巨大的阴谋。,Zhè shì yí ge jùdà de yīnmóu.,This is a huge conspiracy.,fix,claude:claude-opus-5,|Zhè shì yī ge jùdà de yīnmóu.||一 should be written yī without sandhi.
147be6a0e0056ab5,6,sentence,老人的目光十分慈祥。,Lǎorén de mùguāng shífēn cíxiáng.,The old man’s gaze is very kind.,ok,claude:claude-opus-5,
91a23fad7ca6495a,6,sentence,没有什么是永恒的。,Méiyǒu shénme shì yǒnghéng de.,Nothing is eternal.,ok,claude:claude-opus-5,
b9bcd7a2c859a6dc,6,sentence,一瞬间，他就不见了。,"Yí shùnjiān, tā jiù bú jiàn le.","In an instant, he was gone.",fix,claude:claude-opus-5,"|Yī shùnjiān, tā jiù bù jiàn le.||一 and 不 keep dictionary tones (yī, bù)."
12b21d35c5551457,6,sentence,妈妈吩咐我早点回家。,Māma fēnfù wǒ zǎodiǎn huíjiā.,Mom told me to come home early.,ok,claude:claude-opus-5,
153155b1f110f2e4,6,sentence,我们能认识，真是缘分。,"Wǒmen néng rènshi, zhēn shì yuánfèn.",It’s really fate that we got to know each other.,ok,claude:claude-opus-5,
0f9765f52b7404cc,6,sentence,病人昏迷了两天。,Bìngrén hūnmí le liǎng tiān.,The patient was unconscious for two days.,ok,claude:claude-opus-5,
c73c50c0b5b6764d,6,sentence,他一生气就砸东西。,Tā yì shēngqì jiù zá dōngxi.,"As soon as he gets angry, he smashes things.",fix,claude:claude-opus-5,|Tā yī shēngqì jiù zá dōngxi.||一 written without tone sandhi.
9a747e869c67f541,6,sentence,她生了一对双胞胎。,Tā shēng le yí duì shuāngbāotāi.,She gave birth to twins.,fix,claude:claude-opus-5,|Tā shēng le yī duì shuāngbāotāi.||一 written without tone sandhi.
329e8d7a15f7cbf3,6,sentence,天太冷，我的嘴唇都裂了。,"Tiān tài lěng, wǒ de zuǐchún dōu liè le.",It’s so cold that my lips have cracked.,ok,claude:claude-opus-5,
6e551aec8e13d51a,6,sentence,停电了，我们点了蜡烛。,"Tíngdiàn le, wǒmen diǎn le làzhú.","The power went out, so we lit candles.",ok,claude:claude-opus-5,
152fd0bd4f854b19,6,sentence,我们在山上搭了一个帐篷。,Wǒmen zài shān shang dā le yí ge zhàngpeng.,We pitched a tent on the mountain.,fix,claude:claude-opus-5,|Wǒmen zài shān shang dā le yī ge zhàngpeng.||一 written without tone sandhi.
25e425deb9687d93,6,sentence,他一直盯着手机看。,Tā yìzhí dīngzhe shǒujī kàn.,He kept staring at his phone.,fix,claude:claude-opus-5,|Tā yīzhí dīngzhe shǒujī kàn.||一 keeps its dictionary tone yī in pinyin (sandhi not written).
240a3b0dfb49aa16,6,sentence,这里的野生动物很多。,Zhèlǐ de yěshēng dòngwù hěn duō.,There are many wild animals here.,ok,claude:claude-opus-5,
1651e4734b83566a,6,sentence,机器出了故障。,Jīqì chū le gùzhàng.,The machine broke down.,fix,claude:claude-opus-5,|Jīqì chūle gùzhàng.||了 is written attached to the verb: chūle.
0e4c2df2de6360e6,6,sentence,这件事涉及很多人。,Zhè jiàn shì shèjí hěn duō rén.,This matter involves many people.,ok,claude:claude-opus-5,
e3c676abb5ba3d36,6,sentence,他在拼命地挣扎。,Tā zài pīnmìng de zhēngzhá.,He is struggling desperately.,ok,claude:claude-opus-5,
1f336b441e1f35d5,6,sentence,火焰越来越高。,Huǒyàn yuè lái yuè gāo.,The flames rose higher and higher.,fix,claude:claude-opus-5,"||The flames are getting higher and higher.|Chinese is present/ongoing, not past."
0f31b49541d02931,6,sentence,请不要骚扰别人。,Qǐng búyào sāorǎo biérén.,Please don’t harass others.,fix,claude:claude-opus-5,|Qǐng bùyào sāorǎo biérén.||不 keeps its dictionary tone bù (sandhi not written).
2853184d47d4975d,6,sentence,广告的诱惑力很大。,Guǎnggào de yòuhuò lì hěn dà.,Advertisements are very tempting.,fix,claude:claude-opus-5,|Guǎnggào de yòuhuòlì hěn dà.||诱惑力 is one word in pinyin.
e5f299f34e62297f,6,sentence,我们必须弥补这个损失。,Wǒmen bìxū míbǔ zhège sǔnshī.,We must make up for this loss.,ok,claude:claude-opus-5,
8b02f4546a05cfe6,6,sentence,工厂里有很多机械。,Gōngchǎng lǐ yǒu hěn duō jīxiè.,There is a lot of machinery in the factory.,ok,claude:claude-opus-5,
3dc5d6ecac6b6df0,6,sentence,山上的氧气比较少。,Shān shang de yǎngqì bǐjiào shǎo.,There is less oxygen up on the mountain.,ok,claude:claude-opus-5,
e35dc91e66a114e6,6,sentence,双方签署了和平协议。,Shuāngfāng qiānshǔ le hépíng xiéyì.,The two sides signed a peace agreement.,fix,claude:claude-opus-5,|Shuāngfāng qiānshǔle hépíng xiéyì.||了 is written attached to the verb.
e7196eab48c6fa77,6,sentence,请保持房间清洁。,Qǐng bǎochí fángjiān qīngjié.,Please keep the room clean.,ok,claude:claude-opus-5,
2e801930997a3e7d,6,sentence,这道菜滋味很好。,Zhè dào cài zīwèi hěn hǎo.,This dish tastes great.,ok,claude:claude-opus-5,
4f653de34409e9d4,6,sentence,他被埋葬在家乡。,Tā bèi máizàng zài jiāxiāng.,He was buried in his hometown.,ok,claude:claude-opus-5,
825377152fc23d7d,6,sentence,虐待动物是犯法的。,Nüèdài dòngwù shì fànfǎ de.,Abusing animals is against the law.,ok,claude:claude-opus-5,
10de3b803a2da7b0,6,sentence,他勉强同意了。,Tā miǎnqiǎng tóngyì le.,He reluctantly agreed.,fix,claude:claude-opus-5,|Tā miǎnqiǎng tóngyìle.||了 is written attached to the verb.
b81f6aa3c02379d2,6,sentence,警察每天晚上在这里巡逻。,Jǐngchá měi tiān wǎnshang zài zhèlǐ xúnluó.,The police patrol here every night.,ok,claude:claude-opus-5,
41540081b093d7e8,6,sentence,他找到了理想的伴侣。,Tā zhǎodào le lǐxiǎng de bànlǚ.,He found his ideal partner.,fix,claude:claude-opus-5,|Tā zhǎodàole lǐxiǎng de bànlǚ.||了 is written attached to the verb complement.
8da9965cf80f93a6,6,sentence,照片非常清晰。,Zhàopiàn fēicháng qīngxī.,The photo is very clear.,ok,claude:claude-opus-5,
000a37cf7a6a8957,6,sentence,他操纵了整个比赛。,Tā cāozòng le zhěnggè bǐsài.,He manipulated the entire competition.,ok,claude:claude-opus-5,
f2bfd7857f3bef07,6,sentence,赌博害了他一辈子。,Dǔbó hài le tā yíbèizi.,Gambling ruined his whole life.,fix,claude:claude-opus-5,|Dǔbó hài le tā yībèizi.||一 keeps its dictionary tone yī in this course's pinyin convention.
39f4e32f65268e31,6,sentence,大雪覆盖了整座城市。,Dàxuě fùgài le zhěng zuò chéngshì.,Heavy snow covered the whole city.,ok,claude:claude-opus-5,
8423c9f5f42e2ee6,6,sentence,地球围绕太阳旋转。,Dìqiú wéirào tàiyáng xuánzhuǎn.,The earth rotates around the sun.,fix,claude:claude-opus-5,"||The earth revolves around the sun.|围绕…旋转 here means revolve/orbit, not rotate on its axis."
5af3967fd69560aa,6,sentence,我侄子今年五岁。,Wǒ zhízi jīnnián wǔ suì.,My nephew is five this year.,ok,claude:claude-opus-5,
a67fa0ec32461e14,6,sentence,他是个慷慨的人。,Tā shì ge kāngkǎi de rén.,He is a generous person.,ok,claude:claude-opus-5,
3e21665c556dec22,6,sentence,这纯粹是个误会。,Zhè chúncuì shì ge wùhuì.,This is purely a misunderstanding.,ok,claude:claude-opus-5,
c8ed97a593b6b436,6,sentence,敌人侵犯了我们的领土。,Dírén qīnfàn le wǒmen de lǐngtǔ.,The enemy invaded our territory.,ok,claude:claude-opus-5,
c4b4b6d4fd177e34,6,sentence,这条路的直径是十米。,Zhè tiáo lù de zhíjìng shì shí mǐ.,The diameter of this road is ten meters.,fix,claude:claude-opus-5,这个圆的直径是十米。|Zhège yuán de zhíjìng shì shí mǐ.|The diameter of this circle is ten meters.|A road has no 直径; the noun must be a circular object.
71673c7142cea952,6,sentence,这个月的名额已经满了。,Zhège yuè de míng’é yǐjīng mǎn le.,This month’s quota is already full.,ok,claude:claude-opus-5,
109d943352cb7b4e,6,sentence,他的想法有点儿幼稚。,Tā de xiǎngfǎ yǒudiǎnr yòuzhì.,His ideas are a bit childish.,ok,claude:claude-opus-5,
bae06782275ec6a3,6,sentence,不要相信谣言。,Búyào xiāngxìn yáoyán.,Don’t believe rumors.,fix,claude:claude-opus-5,|Bùyào xiāngxìn yáoyán.||不 keeps its dictionary tone bù (sandhi not written).
8a0ad6de919baaba,6,sentence,这首曲子很好听。,Zhè shǒu qǔzi hěn hǎotīng.,This tune is very nice.,ok,claude:claude-opus-5,
80de39e82aa6c175,6,sentence,这是一个悲惨的故事。,Zhè shì yí ge bēicǎn de gùshi.,This is a tragic story.,fix,claude:claude-opus-5,|Zhè shì yī ge bēicǎn de gùshi.||一 keeps its dictionary tone yī.
d1c7482f23bc7cc6,6,sentence,黎明的时候，我们出发了。,"Límíng de shíhou, wǒmen chūfā le.",We set off at dawn.,ok,claude:claude-opus-5,
038a527dd050e02d,6,sentence,他为国家奉献了一生。,Tā wèi guójiā fèngxiàn le yìshēng.,He devoted his whole life to the country.,fix,claude:claude-opus-5,|Tā wèi guójiā fèngxiàn le yīshēng.||一 keeps its dictionary tone yī.
3f51299ba1a987a7,6,sentence,我倾向于第二个方案。,Wǒ qīngxiàng yú dì-èr ge fāng’àn.,I lean toward the second plan.,ok,claude:claude-opus-5,
5b7e7ff4fd3be1a4,6,sentence,瀑布的声音很大。,Pùbù de shēngyīn hěn dà.,The waterfall is very loud.,ok,claude:claude-opus-5,
3608a88aafbfa8d8,6,sentence,天上飞着几只鸽子。,Tiān shang fēizhe jǐ zhī gēzi.,A few pigeons are flying in the sky.,ok,claude:claude-opus-5,
c0cf04631c087a2a,6,sentence,春天来了，雪开始融化。,"Chūntiān lái le, xuě kāishǐ rónghuà.","Spring is here, and the snow is starting to melt.",ok,claude:claude-opus-5,
4c64c75bec54ed1f,6,sentence,他决定挽救这家公司。,Tā juédìng wǎnjiù zhè jiā gōngsī.,He decided to save this company.,ok,claude:claude-opus-5,
cfbe140315a105ac,6,sentence,他们在海边买了一栋别墅。,Tāmen zài hǎibiān mǎi le yí dòng biéshù.,They bought a villa by the sea.,fix,claude:claude-opus-5,|Tāmen zài hǎibiān mǎi le yī dòng biéshù.||一 keeps its dictionary tone yī in pinyin (sandhi not written).
06ad2fb412ea0e75,6,sentence,病人在病床上呻吟。,Bìngrén zài bìngchuáng shang shēnyín.,The patient groaned on the sickbed.,ok,claude:claude-opus-5,
69a1741ec29604ed,6,sentence,噪音让我睡不着。,Zàoyīn ràng wǒ shuì bu zháo.,The noise keeps me from sleeping.,ok,claude:claude-opus-5,
ca6296a63996e8c9,6,sentence,这份文件是伪造的。,Zhè fèn wénjiàn shì wěizào de.,This document is forged.,ok,claude:claude-opus-5,
dddfffb21ea6f81b,6,sentence,船慢慢地驶进了港口。,Chuán mànmàn de shǐ jìn le gǎngkǒu.,The ship slowly sailed into the harbor.,ok,claude:claude-opus-5,
